benchmark,ASR,SpeechQA,EmoPara,AccentPara,SpeakerPara,StylePara,Dialogue,Multilingual,Latency,NoiseRobust,OOD,Safety,Privacy,ToolUse,AudioScene,GenQuality,CodeSwitch
01_AudioBench,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
02_VoiceBench,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
03_DynamicSUPERB,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1
04_AIRBench,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
05_MMAU,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
06_SDEval,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
07_SALMon,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
08_SLUEPERB,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
09_FMSUBench,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
10_VoxEmo,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11_StyleBench,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0
12_VoiceAgentBench,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0
13_Audio2Tool,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
14_LoASRBench,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
15_SeaLLMsAudio,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0
16_Hearing2Translate,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
17_AKB2000,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
18_SCENEBench,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
